file,occurrences,sources
candidate_11.png,15,day 3 line=1 x=2930 y=386; day 4 line=1 x=1773 y=414; day 4 line=1 x=2925 y=414; day 4 line=2 x=2411 y=584; day 4 line=8 x=1072 y=1608; day 5 line=3 x=1791 y=645; day 6 line=6 x=2012 y=1200; day 12 line=2 x=1864 y=637; day 12 line=5 x=852 y=1152; day 22 line=5 x=2676 y=1091; day 25 line=5 x=1846 y=1073; day 25 line=6 x=1873 y=1244; day 26 line=8 x=520 y=1598; day 26 line=8 x=1956 y=1598; day 29 line=8 x=1137 y=1548
candidate_12.png,15,day 4 line=5 x=2610 y=1096; day 4 line=7 x=2370 y=1438; day 5 line=11 x=401 y=2037; day 6 line=5 x=848 y=1026; day 9 line=1 x=2012 y=294; day 9 line=3 x=1640 y=643; day 10 line=4 x=2488 y=1051; day 15 line=9 x=1376 y=1695; day 20 line=3 x=2085 y=777; day 20 line=4 x=1714 y=947; day 21 line=1 x=3054 y=323; day 21 line=6 x=2365 y=1182; day 23 line=2 x=2153 y=549; day 27 line=4 x=960 y=1160; day 28 line=8 x=2518 y=1566
candidate_13.png,14,day 4 line=2 x=2315 y=584; day 4 line=9 x=612 y=1778; day 5 line=4 x=2346 y=818; day 6 line=1 x=1127 y=328; day 6 line=3 x=2772 y=678; day 11 line=2 x=3112 y=531; day 15 line=3 x=2679 y=687; day 17 line=2 x=1854 y=752; day 22 line=1 x=1988 y=406; day 23 line=1 x=1038 y=379; day 24 line=1 x=1706 y=718; day 26 line=2 x=814 y=578; day 26 line=6 x=1717 y=1257; day 28 line=7 x=2227 y=1394
candidate_14.png,14,day 4 line=3 x=2766 y=756; day 4 line=5 x=1987 y=1096; day 5 line=1 x=1586 y=297; day 5 line=1 x=2170 y=297; day 5 line=4 x=1209 y=818; day 7 line=1 x=3087 y=205; day 9 line=1 x=1221 y=294; day 9 line=3 x=978 y=643; day 9 line=6 x=2107 y=1165; day 9 line=8 x=1849 y=1513; day 9 line=8 x=2311 y=1513; day 9 line=11 x=1248 y=2037; day 10 line=1 x=705 y=454; day 17 line=1 x=1707 y=585
candidate_15.png,12,day 1 line=2 x=1690 y=690; day 9 line=9 x=479 y=1688; day 13 line=8 x=1618 y=1772; day 15 line=8 x=2506 y=1527; day 18 line=4 x=2407 y=982; day 21 line=10 x=1434 y=1867; day 23 line=6 x=1244 y=1231; day 26 line=5 x=2297 y=1088; day 27 line=12 x=994 y=2690; day 29 line=6 x=1800 y=1208; day 29 line=8 x=1588 y=1548; day 29 line=10 x=2162 y=1888
candidate_16.png,12,day 5 line=6 x=1167 y=1167; day 6 line=5 x=2270 y=1026; day 9 line=3 x=782 y=643; day 9 line=4 x=1094 y=816; day 9 line=5 x=2607 y=990; day 9 line=6 x=1911 y=1165; day 9 line=7 x=2090 y=1340; day 9 line=8 x=1653 y=1513; day 9 line=9 x=1620 y=1688; day 9 line=9 x=2111 y=1688; day 9 line=11 x=1051 y=2037; day 14 line=5 x=831 y=1302
candidate_17.png,12,day 9 line=5 x=1383 y=990; day 11 line=8 x=2584 y=1567; day 12 line=2 x=1440 y=637; day 13 line=7 x=1026 y=1600; day 13 line=9 x=563 y=1941; day 13 line=9 x=2605 y=1941; day 24 line=3 x=1076 y=1129; day 25 line=8 x=2000 y=1586; day 26 line=3 x=992 y=749; day 29 line=5 x=960 y=1038; day 31 line=1 x=1337 y=563; day 32 line=3 x=1060 y=1172
candidate_18.png,11,day 1 line=2 x=1719 y=690; day 9 line=7 x=1810 y=1340; day 13 line=8 x=1648 y=1772; day 15 line=8 x=2536 y=1527; day 18 line=4 x=2436 y=982; day 21 line=10 x=1464 y=1867; day 23 line=6 x=1274 y=1231; day 26 line=5 x=2327 y=1088; day 27 line=12 x=1026 y=2690; day 29 line=8 x=1617 y=1548; day 29 line=10 x=2191 y=1888
candidate_19.png,11,day 9 line=1 x=2043 y=294; day 9 line=3 x=806 y=643; day 9 line=3 x=1671 y=643; day 9 line=4 x=1118 y=816; day 9 line=5 x=2631 y=990; day 9 line=6 x=1935 y=1165; day 9 line=7 x=2115 y=1340; day 9 line=8 x=1677 y=1513; day 9 line=9 x=1644 y=1688; day 9 line=9 x=2135 y=1688; day 9 line=11 x=1076 y=2037
candidate_20.png,10,day 3 line=5 x=857 y=1068; day 5 line=3 x=1391 y=645; day 5 line=3 x=2978 y=645; day 7 line=4 x=1637 y=735; day 7 line=4 x=2557 y=735; day 7 line=7 x=1622 y=1263; day 7 line=9 x=822 y=1616; day 7 line=12 x=622 y=2145; day 15 line=6 x=1816 y=1190; day 17 line=8 x=1588 y=1756
candidate_21.png,10,day 3 line=7 x=1689 y=1409; day 4 line=10 x=1373 y=1949; day 6 line=2 x=2377 y=503; day 6 line=5 x=1011 y=1026; day 6 line=7 x=1747 y=1376; day 10 line=8 x=1106 y=1815; day 21 line=8 x=2192 y=1524; day 21 line=11 x=1479 y=2038; day 24 line=2 x=1791 y=925; day 25 line=2 x=2163 y=560
candidate_22.png,10,day 4 line=7 x=991 y=1438; day 11 line=9 x=1902 y=1741; day 12 line=4 x=1982 y=981; day 17 line=1 x=1036 y=585; day 19 line=2 x=2113 y=1070; day 23 line=9 x=2339 y=1743; day 24 line=3 x=1667 y=1129; day 26 line=1 x=2561 y=408; day 29 line=9 x=1023 y=1718; day 31 line=4 x=1324 y=1191
candidate_23.png,9,day 8 line=6 x=1627 y=1509; day 9 line=4 x=2014 y=816; day 11 line=8 x=1018 y=1567; day 15 line=1 x=2855 y=349; day 15 line=9 x=494 y=1695; day 21 line=3 x=2374 y=666; day 22 line=6 x=910 y=1262; day 29 line=1 x=1240 y=360; day 29 line=6 x=2512 y=1208
candidate_24.png,8,day 2 line=6 x=1337 y=1665; day 7 line=3 x=2376 y=558; day 7 line=8 x=2008 y=1439; day 12 line=4 x=2309 y=981; day 15 line=11 x=1832 y=2031; day 27 line=8 x=929 y=1925; day 27 line=11 x=1964 y=2519; day 32 line=5 x=1493 y=1589
candidate_25.png,8,day 5 line=11 x=807 y=2037; day 7 line=2 x=1360 y=381; day 10 line=4 x=1857 y=1051; day 15 line=11 x=797 y=2031; day 18 line=6 x=1821 y=1322; day 22 line=6 x=806 y=1262; day 25 line=9 x=391 y=1757; day 28 line=2 x=1497 y=532
candidate_26.png,8,day 6 line=4 x=2882 y=851; day 9 line=3 x=1501 y=643; day 11 line=3 x=2256 y=704; day 12 line=5 x=1081 y=1152; day 15 line=10 x=1973 y=1863; day 17 line=7 x=1232 y=1589; day 18 line=2 x=2093 y=638; day 23 line=2 x=2016 y=549
candidate_27.png,7,day 3 line=2 x=1038 y=557; day 4 line=1 x=2103 y=414; day 4 line=3 x=1748 y=756; day 12 line=7 x=2063 y=1494; day 17 line=5 x=2026 y=1255; day 22 line=3 x=1129 y=749; day 24 line=1 x=1882 y=718
candidate_28.png,7,day 3 line=6 x=1032 y=1237; day 4 line=6 x=1636 y=1267; day 4 line=6 x=2216 y=1267; day 13 line=5 x=1738 y=1262; day 17 line=7 x=2073 y=1589; day 29 line=4 x=2033 y=870; day 32 line=2 x=1631 y=963
candidate_29.png,7,day 5 line=2 x=2482 y=471; day 5 line=10 x=1196 y=1863; day 11 line=8 x=778 y=1567; day 11 line=11 x=390 y=2085; day 12 line=8 x=599 y=1665; day 21 line=3 x=966 y=666; day 27 line=4 x=879 y=1160
candidate_30.png,7,day 6 line=2 x=2729 y=503; day 6 line=4 x=2752 y=851; day 12 line=10 x=446 y=2009; day 18 line=2 x=2447 y=638; day 19 line=2 x=2415 y=1070; day 22 line=5 x=1544 y=1091; day 32 line=2 x=2060 y=963
candidate_31.png,7,day 6 line=5 x=951 y=1026; day 7 line=1 x=1297 y=205; day 10 line=3 x=1640 y=838; day 20 line=7 x=1286 y=1459; day 22 line=1 x=1141 y=406; day 25 line=8 x=1100 y=1586; day 30 line=3 x=1348 y=1060
candidate_32.png,7,day 9 line=10 x=1971 y=1862; day 12 line=5 x=1396 y=1152; day 12 line=8 x=898 y=1665; day 13 line=4 x=974 y=1091; day 20 line=10 x=1799 y=1971; day 21 line=9 x=1728 y=1696; day 32 line=5 x=2116 y=1589
